scenario_id,tier,seed,controller,time_s,alpha_rad,q_radps,theta_rad,measured_alpha_rad,measured_q_radps,measured_theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,alpha_error_rad,q_error_rad,theta_error_rad,solver_status,solve_time_s,solver_failure,pitching_moment_nm,cm,flap_effectiveness,delta_flap_raw_rad,delta_flap_delayed_rad,delta_flap_lagged_rad,delta_flap_rad,delta_flap_rate_radps,flap_saturated,flap_rate_saturated,altitude_m,velocity_mps,mach,density_kgm3,dynamic_pressure_pa,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,corridor_violation
16,moderate,71,pid,0.0,0.07116481144650454,0.05269763280022133,0.07507370656458032,0.07038432331019037,0.0524764754152741,0.0769884029099444,0.12,-1.5202636718752993e-05,0.08,0.04999999999999999,0.19,-0.08,0.08,-0.04883518855349546,0.05271283543694008,-0.004926293435419685,not_applicable,0.0,False,-977.0763964244705,-0.020246797390202548,0.4015798869488264,0.37386441466654174,0.37386441466654174,0.37352243152589565,0.09,0.18,False,True,82000.0,6200.0,21.012104371718653,4.6266159894055265e-06,88.92355931637422,0.9260241032311908,1.0082616506939277,1.104394623500175,1.0539044250163887,0.07146035042271176,0.0,0.0015694963232778622,0.0003021177609268611,0.001776891772332004,-0.04883518855349546,0.05271283543694008,-0.004926293435419682,-930.9857138338967,False
16,moderate,71,pid,0.5,0.08869844738769564,0.05267793725538149,0.10141761169495872,0.08757131542145545,0.05317731329822373,0.09957651437541963,0.12002304098079561,-3.0341796874999716e-05,0.07999239868164063,0.0500230409807956,0.19002304098079562,-0.08,0.08,-0.03132459359309997,0.05270827905225649,0.021425213013318095,not_applicable,0.0,False,-1017.6504214670068,-0.03806645128728128,0.40159248685423254,0.4045945607304273,0.4045945607304273,0.4045661382758821,0.18,0.18,False,True,81998.8598022461,6199.7501458924335,21.01125760388222,4.627447920026575e-06,88.93238080875349,0.9260241032311908,1.0082616506939277,1.104394623500175,1.0539044250163887,0.07146035042271176,0.0,0.0015694963232778622,0.0003021177609268611,0.001776891772332004,-0.04883518855349546,0.05271283543694008,-0.004926293435419682,-930.9857138338967,False
16,moderate,71,pid,1.0,0.10439616082741658,0.052657446343182646,0.1277514688909922,0.10515508693390918,0.052886847255678146,0.12896428802345383,0.12009173525377229,-6.052490234374763e-05,0.079969658203125,0.05009173525377228,0.1900917352537723,-0.08,0.08,-0.015695574426355705,0.05271797124552639,0.0477818106878672,not_applicable,0.0,False,-1056.6809087018157,-0.055191873597709995,0.40162486243193063,0.427666992900117,0.427666992900117,0.4276458619700095,0.27,0.18000000000000005,False,True,81995.44873046875,6199.108143368448,21.00908182581111,4.6299376579577554e-06,88.96180233554904,0.9260241032311908,1.0082616506939277,1.104394623500175,1.0539044250163887,0.07146035042271176,0.0,0.0015694963232778622,0.0003021177609268611,0.001776891772332004,-0.04883518855349546,0.05271283543694008,-0.004926293435419682,-930.9857138338967,False
16,moderate,71,pid,1.5,0.1184488225524367,0.052636189234402664,0.15407488790096485,0.11802983516010389,0.05257605900067599,0.1536413862891065,0.12020543981481481,-9.05175781250045e-05,0.07993187377929688,0.0502054398148148,0.1902054398148148,-0.08,0.08,-0.0017566172623781073,0.05272670681252767,0.07414301412166797,not_applicable,0.0,False,-1091.5327749538183,-0.0704544584310532,0.4016744554206741,0.4437674267562997,0.4437674267562997,0.44375267995734946,0.35,0.15999999999999992,True,True,81989.78106689453,6198.124722339112,21.005748963664374,4.634077442359653e-06,89.01309746258434,0.9260241032311908,1.0082616506939277,1.104394623500175,1.0539044250163887,0.07146035042271176,0.0,0.0015694963232778622,0.0003021177609268611,0.001776891772332004,-0.04883518855349546,0.05271283543694008,-0.004926293435419682,-930.9857138338967,False
16,moderate,71,pid,2.0,0.13102744770098693,0.05261424798183142,0.18038750626428082,0.13326770625085574,0.0528862043796965,0.18014952446490565,0.12036351165980795,-0.00012031982421875642,0.079879140625,0.050363511659807944,0.19036351165980797,-0.08,0.08,0.010663936041178976,0.052734567806050174,0.10050836563928083,not_applicable,0.0,False,-1102.5418934359611,-0.075223396950403,0.4017399997587981,0.4686194719355539,0.4686194719355539,0.46859672565833443,0.35,0.0,True,True,81981.87109375,6196.824988604601,21.00134410223131,4.639861246908018e-06,89.08682055563217,0.9260241032311908,1.0082616506939277,1.104394623500175,1.0539044250163887,0.07146035042271176,0.0,0.0015694963232778622,0.0003021177609268611,0.001776891772332004,-0.04883518855349546,0.05271283543694008,-0.004926293435419682,-930.9857138338967,False
16,moderate,71,pid,2.5,0.14228537118557708,0.0525920980823441,0.20668910089454767,0.1407461596526007,0.05213729451845541,0.20536440707438622,0.12056530778463648,-0.00014993164062498954,0.07981155395507812,0.05056530778463647,0.19056530778463648,-0.08,0.08,0.021720063400940598,0.05274202972296909,0.12687754693946957,not_applicable,0.0,False,-1112.4737267418568,-0.07949217319618462,0.4018206300465545,0.4732079479949962,0.4732079479949962,0.47320372999447236,0.35,0.0,True,True,81971.73309326172,6195.226102903411,20.995925400097143,4.6472847505088156e-06,89.18331477390605,0.9260241032311908,1.0082616506939277,1.104394623500175,1.0539044250163887,0.07146035042271176,0.0,0.0015694963232778622,0.0003021177609268611,0.001776891772332004,-0.04883518855349546,0.05271283543694008,-0.004926293435419682,-930.9857138338967,False
16,moderate,71,pid,3.0,0.15236007106880373,0.05256975986760384,0.23297957265068212,0.15233177773718526,0.05206153588322209,0.23365018310615937,0.12081018518518519,-0.00017935302734374547,0.07972920898437501,0.05081018518518518,0.1908101851851852,-0.08,0.08,0.03154988588361854,0.05274911289494758,0.15325036366630712,not_applicable,0.0,False,-1121.4513474858547,-0.08331274860147206,0.40191568368588926,0.4894945673186144,0.4894945673186144,0.48947966568183565,0.35,0.0,True,True,81959.38134765625,6193.341204448907,20.98953738670099,4.656345311116093e-06,89.30282507085779,0.9260241032311908,1.0082616506939277,1.104394623500175,1.0539044250163887,0.07146035042271176,0.0,0.0015694963232778622,0.0003021177609268611,0.001776891772332004,-0.04883518855349546,0.05271283543694008,-0.004926293435419682,-930.9857138338967,False
16,moderate,71,pid,3.5,0.16137471396453773,0.052547251337605586,0.2592588319638829,0.16250476508092693,0.0525535888463097,0.26090506163212973,0.12109750085733882,-0.00020858398437501036,0.07963220092773438,0.051097500857338815,0.19109750085733884,-0.08,0.08,0.04027721310719891,0.052755835321980596,0.1796266310361485,not_applicable,0.0,False,-1129.5844824013116,-0.08673170343911087,0.40202462079258067,0.5085702590451044,0.5085702590451044,0.5085527964013784,0.35,0.0,True,True,81944.83013916016,6191.180999058791,20.98221634458463,4.667041942543864e-06,89.4455440116071,0.9260241032311908,1.0082616506939277,1.104394623500175,1.0539044250163887,0.07146035042271176,0.0,0.0015694963232778622,0.0003021177609268611,0.001776891772332004,-0.04883518855349546,0.05271283543694008,-0.004926293435419682,-930.9857138338967,False
16,moderate,71,pid,4.0,0.1694396447585361,0.05252458841360899,0.2855267977361757,0.16911542868076965,0.05251683640930508,0.28488988378861835,0.12142661179698216,-0.00023762451171874255,0.079520625,0.05142661179698216,0.19142661179698217,-0.08,0.08,0.04801303296155393,0.052762212925327734,0.20600617273617566,not_applicable,0.0,False,-1136.9709809986102,-0.08979079001137534,0.40214698367832524,0.5179706252969043,0.5179706252969043,0.5179620105730167,0.35,0.0,True,True,81928.09375,6188.754562618874,20.973993032370615,4.679375294171396e-06,89.61163497505994,0.9260241032311908,1.0082616506939277,1.104394623500175,1.0539044250163887,0.07146035042271176,0.0,0.0015694963232778622,0.0003021177609268611,0.001776891772332004,-0.04883518855349546,0.05271283543694008,-0.004926293435419682,-930.9857138338967,False
16,moderate,71,pid,4.5,0.1766537212641343,0.05250178516318264,0.31178339635833036,0.17900418592051073,0.05217181398971015,0.3162464997060479,0.121796875,-0.00026647460937499756,0.07939457641601563,0.05179687499999999,0.191796875,-0.08,0.08,0.05485684626413431,0.05276825977255764,0.23238881994231472,not_applicable,0.0,False,-1143.6981233864713,-0.09252743043924555,0.40228237351219553,0.5295140317455782,0.5295140317455782,0.5295034648225804,0.35,0.0,True,True,81909.18646240234,6186.0698038826085,20.964894253212666,4.693347633449779e-06,89.80124551933024,0.9260241032311908,1.0082616506939277,1.104394623500175,1.0539044250163887,0.07146035042271176,0.0,0.0015694963232778622,0.0003021177609268611,0.001776891772332004,-0.04883518855349546,0.05271283543694008,-0.004926293435419682,-930.9857138338967,False
