scenario_id,tier,seed,controller,time_s,alpha_rad,q_radps,theta_rad,measured_alpha_rad,measured_q_radps,measured_theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,alpha_error_rad,q_error_rad,theta_error_rad,solver_status,solve_time_s,solver_failure,pitching_moment_nm,cm,flap_effectiveness,delta_flap_raw_rad,delta_flap_delayed_rad,delta_flap_lagged_rad,delta_flap_rad,delta_flap_rate_radps,flap_saturated,flap_rate_saturated,altitude_m,velocity_mps,mach,density_kgm3,dynamic_pressure_pa,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,corridor_violation
11,moderate,66,pid,0.0,0.09726367930063026,0.05237034123419307,0.08118891616634445,0.0976290174727476,0.052147560850247784,0.08223598860017399,0.12,-1.5202636718752993e-05,0.08,0.04999999999999999,0.19,-0.08,0.08,-0.022736320699369733,0.05238554387091182,0.0011889161663444503,not_applicable,0.0,False,-1866.8762812365558,-0.020597535594071036,0.4015798869488264,0.4107777826057452,0.0,0.0,0.0,0.0,False,False,82000.0,6200.0,21.012104371718653,5.631335244604286e-06,108.23426340129438,1.1271201633807792,1.057845439337298,0.8291739104917131,1.0497015221724948,0.165381683907133,1.0,0.00030848479803221776,0.0006562873235056894,0.001380134036191736,-0.02273632069936974,0.05238554387091182,0.0011889161663444536,-1809.8046884581565,False
11,moderate,66,pid,0.5,0.1119194493992448,0.05233284002406308,0.10736472488783545,0.11219712028123073,0.051905343879028884,0.1074149791415523,0.12002304098079561,-3.0341796874999716e-05,0.07999239868164063,0.0500230409807956,0.19002304098079562,-0.08,0.08,-0.008103591581550815,0.05236318182093808,0.027372326206194827,not_applicable,0.0,False,-1882.9520408485546,-0.026396770636646562,0.40159248685423254,0.42987926645661284,0.0,0.0,0.0,0.0,False,False,81998.8598022461,6199.7501458924335,21.01125760388222,5.632347837877232e-06,108.24500057530217,1.1271201633807792,1.057845439337298,0.8291739104917131,1.0497015221724948,0.165381683907133,1.0,0.00030848479803221776,0.0006562873235056894,0.001380134036191736,-0.02273632069936974,0.05238554387091182,0.0011889161663444536,-1809.8046884581565,False
11,moderate,66,pid,1.0,0.12503075967039443,0.05229503453190158,0.13352170552193554,0.12540419093387223,0.0528676174223285,0.1327445064027813,0.12009173525377229,-6.052490234374763e-05,0.079969658203125,0.05009173525377228,0.1900917352537723,-0.08,0.08,0.00493902441662214,0.05235555943424533,0.05355204731881054,not_applicable,0.0,False,-1920.6168846526557,-0.03997570171296956,0.40162486243193063,0.45740563713925864,0.4107777826057452,0.39079755848128417,0.09,0.18,False,True,81995.44873046875,6199.108143368448,21.00908182581111,5.635378249087887e-06,108.28081130201328,1.1271201633807792,1.057845439337298,0.8291739104917131,1.0497015221724948,0.165381683907133,1.0,0.00030848479803221776,0.0006562873235056894,0.001380134036191736,-0.02273632069936974,0.05238554387091182,0.0011889161663444536,-1809.8046884581565,False
11,moderate,66,pid,1.5,0.13675824143893325,0.05225649115694383,0.15965959767643167,0.13660970130117256,0.05163160721269387,0.15975539308863584,0.12020543981481481,-9.05175781250045e-05,0.07993187377929688,0.0502054398148148,0.1902054398148148,-0.08,0.08,0.016552801624118443,0.05234700873506883,0.0797277238971348,not_applicable,0.0,False,-1956.8265065320977,-0.05300782462787135,0.4016744554206741,0.4633606384817265,0.42987926645661284,0.4279783328677501,0.18,0.18,False,True,81989.78106689453,6198.124722339112,21.005748963664374,5.640417032047365e-06,108.34324571572121,1.1271201633807792,1.057845439337298,0.8291739104917131,1.0497015221724948,0.165381683907133,1.0,0.00030848479803221776,0.0006562873235056894,0.001380134036191736,-0.02273632069936974,0.05238554387091182,0.0011889161663444536,-1809.8046884581565,False
11,moderate,66,pid,2.0,0.14724569959322736,0.052217237379224915,0.18577803941301219,0.14707630963278615,0.05279149732191315,0.1862737037486603,0.12036351165980795,-0.00012031982421875642,0.079879140625,0.050363511659807944,0.19036351165980797,-0.08,0.08,0.026882187933419413,0.05233755720344367,0.10589889878801219,not_applicable,0.0,False,-1991.7665461408847,-0.06555095285176801,0.4017399997587981,0.4886207473922842,0.45740563713925864,0.4559742935768251,0.27,0.18000000000000005,False,True,81981.87109375,6196.824988604601,21.00134410223131,5.647456851750512e-06,108.43297856866864,1.1271201633807792,1.057845439337298,0.8291739104917131,1.0497015221724948,0.165381683907133,1.0,0.00030848479803221776,0.0006562873235056894,0.001380134036191736,-0.02273632069936974,0.05238554387091182,0.0011889161663444536,-1809.8046884581565,False
11,moderate,66,pid,2.5,0.15662197162456165,0.05217729713956449,0.21187668163435872,0.15660368628598278,0.051053194110962846,0.21195314623296788,0.12056530778463648,-0.00014993164062498954,0.07981155395507812,0.05056530778463647,0.19056530778463648,-0.08,0.08,0.036056663839925174,0.05232722878018948,0.13206512767928058,not_applicable,0.0,False,-2023.0124179813959,-0.07672403622153812,0.4018206300465545,0.48788925014355344,0.4633606384817265,0.4630013667954042,0.35,0.15999999999999992,True,True,81971.73309326172,6195.226102903411,20.995925400097143,5.656492448731403e-06,108.5504275407706,1.1271201633807792,1.057845439337298,0.8291739104917131,1.0497015221724948,0.165381683907133,1.0,0.00030848479803221776,0.0006562873235056894,0.001380134036191736,-0.02273632069936974,0.05238554387091182,0.0011889161663444536,-1809.8046884581565,False
11,moderate,66,pid,3.0,0.1650024976240059,0.05213674302558826,0.23795519936256165,0.16470765017098957,0.05207194180210124,0.23900836182719326,0.12081018518518519,-0.00017935302734374547,0.07972920898437501,0.05081018518518518,0.1908101851851852,-0.08,0.08,0.04419231243882071,0.052316096052932005,0.15822599037818663,not_applicable,0.0,False,-2032.5281887940337,-0.08004108222912967,0.40191568368588926,0.5085235936951971,0.4886207473922842,0.4873746211704413,0.35,0.0,True,True,81959.38134765625,6193.341204448907,20.98953738670099,5.667520607195489e-06,108.69589077974668,1.1271201633807792,1.057845439337298,0.8291739104917131,1.0497015221724948,0.165381683907133,1.0,0.00030848479803221776,0.0006562873235056894,0.001380134036191736,-0.02273632069936974,0.05238554387091182,0.0011889161663444536,-1809.8046884581565,False
11,moderate,66,pid,3.5,0.1724908141362771,0.05209600848120583,0.26401339411634656,0.1726365305598716,0.0527128334698488,0.2611328446488536,0.12109750085733882,-0.00020858398437501036,0.07963220092773438,0.051097500857338815,0.19109750085733884,-0.08,0.08,0.05139331327893827,0.05230459246558084,0.18438119318861218,not_applicable,0.0,False,-2041.1439879901423,-0.08300472461079103,0.40202462079258067,0.5256864475678422,0.48788925014355344,0.4878642185993485,0.35,0.0,True,True,81944.83013916016,6191.180999058791,20.98221634458463,5.680540126795923e-06,108.86960266829645,1.1271201633807792,1.057845439337298,0.8291739104917131,1.0497015221724948,0.165381683907133,1.0,0.00030848479803221776,0.0006562873235056894,0.001380134036191736,-0.02273632069936974,0.05238554387091182,0.0011889161663444536,-1809.8046884581565,False
11,moderate,66,pid,4.0,0.17917977755645514,0.05205511047005575,0.290051180006276,0.17916396274200597,0.05186958903716575,0.28909380572977317,0.12142661179698216,-0.00023762451171874255,0.079520625,0.05142661179698216,0.19142661179698217,-0.08,0.08,0.05775316575947298,0.052292734981774495,0.210530555006276,not_applicable,0.0,False,-2048.9644785163473,-0.08565167667867404,0.40214698367832524,0.5281863103061576,0.5085235936951971,0.5075187220537273,0.35,0.0,True,True,81928.09375,6188.754562618874,20.973993032370615,5.695551797931644e-06,109.07176206480656,1.1271201633807792,1.057845439337298,0.8291739104917131,1.0497015221724948,0.165381683907133,1.0,0.00030848479803221776,0.0006562873235056894,0.001380134036191736,-0.02273632069936974,0.05238554387091182,0.0011889161663444536,-1809.8046884581565,False
11,moderate,66,pid,4.5,0.1851525793705179,0.05201406397302103,0.31606847911999,0.18553854758426166,0.05191829967779991,0.31713801829705957,0.121796875,-0.00026647460937499756,0.07939457641601563,0.05179687499999999,0.191796875,-0.08,0.08,0.0633557043705179,0.05228053858239603,0.23667390270397434,not_applicable,0.0,False,-2056.0830055668303,-0.08801484400694837,0.40228237351219553,0.538029905502903,0.5256864475678422,0.5248027697182247,0.35,0.0,True,True,81909.18646240234,6186.0698038826085,20.964894253212666,5.712558380455047e-06,109.30254857121709,1.1271201633807792,1.057845439337298,0.8291739104917131,1.0497015221724948,0.165381683907133,1.0,0.00030848479803221776,0.0006562873235056894,0.001380134036191736,-0.02273632069936974,0.05238554387091182,0.0011889161663444536,-1809.8046884581565,False
